CountryName,CurrencyName,CurrencyCode,UnitsPerUSD
Myanmar,kyat,MMK,968.3196
Namibia,dollar,NAD,10.53085
Namibia,rand,ZAR,10.53085
Nauru,dollar,AUD,1.075077
Nepal,rupee,NPR,94.20671
Netherlands,euro,EUR,0.734194
Netherlands,guilder,ANG,1.79
Netherlands,guilder,NLG,1.617951
Netherlands Antilles,guildar,ANG,1.79
New Caledonia,franc,XPF,87.6121
New Zealand,dollar,NZD,1.178727
Nicaragua,oro,NIO,25.8841
Niger,franc,XOF,530.0
Nigeria,naira,NGN,162.5062
Niue,dollar,NZD,1.178727
Norfolk Isl.,dollar,AUD,1.075077
North Ireland,pound,GBP,0.597321
North. Mariana Isl.,dollar,USD,1.0
Norway,krone,NOK,5.977529
Oman,rial,OMR,0.385021
Pakistan,rupee,PKR,98.70775
Palau,dollar,USD,1.0
Panama,dollar,USD,1.0
Papua New Guinea,kina,PGK,2.681698
Paraguay,guarani,PYG,4428.534
Peru,sol,PEN,2.765252
Philippines,peso,PHP,43.82228
Pitcairn,dollar,NZD,1.178727
Poland,zloty,PLN,3.040842
Portugal,escudo,PTE,147.1927
Portugal,euro,EUR,0.734194
Puerto Rico,dollar,USD,1.0
Qatar,rial,QAR,3.64
Reunion,euro,EUR,0.734194
Reunion,franc,FRF,4.815997
Romania,leu,ROL,32278.57
Romania,leu,RON,3.227857
Russia,ruble,RUB,34.79164
Russia,ruble,RUR,34791.64
Rwanda,franc,RWF,683.681
Samoa,tala,WST,2.268895
San Marino,euro,EUR,0.734194
San Marino,lira,ITL,1421.598
Sao Tome & Principe,dobra,STD,17970.18
Saudi Arabia,riyal,SAR,3.750651
Senegal,franc,XOF,530.0
Seychelles,rupee,SCR,11.92249
Sierra Leone,leone,SLL,4303.231
Singapore,dollar,SGD,1.254372
Slovakia,euro,EUR,0.734194
Slovakia,koruna,SKK,21.64037
Slovenia,euro,EUR,0.734194
Slovenia,tolar,SIT,175.9423
Solomon Isl.,dollar,SBD,7.337389
South Africa,rand,ZAR,10.53085
Spain,euro,EUR,0.734194
Spain,peseta,ESP,122.1596
Sri Lanka,rupee,LKR,130.4046
St Helena,pound,SHP,0.597321
St Kitts - Nevis,dollar,XCD,2.701409
St Lucia,dollar,XCD,2.701409
St Pierre & Miquelon,euro,EUR,0.734194
St Pierre & Miquelon,franc,FRF,4.815997
St Vincent & Grenadines,dollar,XCD,2.701409
Sudan,dinar,SDD,585.7722
Sudan,pound,SDG,5.857722
Suriname,guilder,SRD,3.353005
Suriname,guilder,SRG,3353.005
Svalbard & Jan Mayen Isl.,krone,NOK,5.977529
Swaziland,lilangeni,SZL,10.50851
Sweden,krona,SEK,6.667666
Switzerland,franc,CHF,0.895981
Syria,pound,SYP,155.3975
Taiwan,dollar,TWD,30.01655
Tajikistan,ruble,TJR,492.9884
Tajikistan,ruble,TJS,4.929884
Tanzania,shilling,TZS,1656.612
Thailand,baht,THB,32.83761
Togo,franc,XOF,530.0
Tokelau,dollar,NZD,1.178727
Tonga,paanga,TOP,1.789213
Trinidad & Tobago,dollar,TTD,6.427339
Tunisia,dinar,TND,1.632627
Turkey,lira,TRL,2095305.0
Turkey,lira,TRY,2.095305
Turkmenistan,manat,TMM,14250.99
Turkmenistan,manat,TMT,2.850199
Turks & Caicos Isl.,dollar,USD,1.0
Tuvalu,dollar,AUD,1.075077
U.A.E.,dirham,AED,3.673013
U.S. Minor Outlaying Isl.,dollar,USD,1.0
Uganda,shilling,UGX,2540.649
Ukraine,hryvnia,UAH,11.78582
United Kingdom,pound,GBP,0.597321
United States,dollar,USD,1.0
Uruguay,peso,UYU,23.03158
Uzbekistan,sum,UZS,2295.14
Vanuatu,vatu,VUV,93.46514
Vatican,lira,ITL,1421.598
Venezuela,bolivar,VEB,6296.338
Venezuela,bolivar,VEF,6.296338
Vietnam,dong,VND,21211.21
Virgin Isl. (British),dollar,USD,1.0
Virgin Isl. (U.S.),dollar,USD,1.0
Wallis & Futuna Isl.,franc,XPF,87.6121
Western Sahara,dirham,MAD,8.236168
Yemen,rial,YER,214.9896
Yugoslavia,dinar,YUM,1.436818
Zambia,kwacha,ZMK,5244.155
