CountryName,CurrencyName,CurrencyCode,UnitsPerUSD
Italy,lira,ITL,1441.933
Jamaica,dollar,JMD,86.41316
Japan,yen,JPY,80.70356
Jordan,dinar,JOD,0.708496
Kazakhstan,tenge,KZT,147.6289
Kenya,shilling,KES,83.83526
Kiribati,dollar,AUD,0.933455
Korea (South),won,KRW,1125.606
Kuwait,dinar,KWD,0.277773
Kyrgyzstan,som,KGS,46.58062
Lao,kip,LAK,8002.002
Latvia,lats,LVL,0.520292
Lebanon,pound,LBP,1502.093
Lesotho,loti,LSL,7.685947
Lesotho,rand,ZAR,7.593592
Liberia,dollar,LRD,1.0
Libya,dinar,LYD,1.22656
Liechtenstein,franc,CHF,0.895985
Lithuania,litas,LTL,2.571287
Luxembourg,euro,EUR,0.744696
Luxembourg,franc,LUF,30.04096
Macau,pataca,MOP,7.993432
Madagascar,franc,MGA,2174.055
Madagascar,franc,MGF,10870.27
Malawi,kwacha,MWK,163.2339
Malaysia,ringgit,MYR,3.013079
Maldives,rufiyaa,MVR,14.77115
Mali,franc,XOF,530.0
Malta,euro,EUR,0.744696
Malta,lira,MTL,0.319698
Marshall Isl.,dollar,USD,1.0
Martinique,euro,EUR,0.744696
Martinique,franc,FRF,4.884886
Mauritania,ouguiya,MRO,290.1692
Mauritius,rupee,MUR,29.10186
Mexico,peso,MXN,12.85538
Micronesia,dollar,USD,1.0
Moldova,leu,MDL,11.81415
Monaco,euro,EUR,0.744696
Monaco,franc,FRF,4.884886
Mongolia,tugrik,MNT,1329.269
Montserrat,dollar,XCD,2.701444
Morocco,dirham,MAD,8.317294
Mozambique,metical,MZM,27611.09
Mozambique,metical,MZN,27.61109
Myanmar,kyat,MMK,5.971859
Namibia,dollar,NAD,7.593592
Namibia,rand,ZAR,7.593592
Nauru,dollar,AUD,0.933455
Nepal,rupee,NPR,78.10977
Netherlands,euro,EUR,0.744696
Netherlands,guilder,ANG,1.79
Netherlands,guilder,NLG,1.641094
Netherlands Antilles,guildar,ANG,1.79
New Caledonia,franc,XPF,88.86532
New Zealand,dollar,NZD,1.195296
Nicaragua,oro,NIO,23.16008
Niger,franc,XOF,530.0
Nigeria,naira,NGN,159.1823
Niue,dollar,NZD,1.195296
Norfolk Isl.,dollar,AUD,0.933455
North Ireland,pound,GBP,0.631425
North. Mariana Isl.,dollar,USD,1.0
Norway,krone,NOK,5.570633
Oman,rial,OMR,0.384513
Pakistan,rupee,PKR,90.92345
Palau,dollar,USD,1.0
Panama,dollar,USD,1.0
Papua New Guinea,kina,PGK,2.128638
Paraguay,guarani,PYG,4401.627
Peru,sol,PEN,2.686675
Philippines,peso,PHP,42.81082
Pitcairn,dollar,NZD,1.195296
Poland,zloty,PLN,3.101375
Portugal,escudo,PTE,149.2981
Portugal,euro,EUR,0.744696
Puerto Rico,dollar,USD,1.0
Qatar,rial,QAR,3.64
Reunion,euro,EUR,0.744696
Reunion,franc,FRF,4.884886
Romania,leu,ROL,33261.52
Romania,leu,RON,3.326152
Russia,ruble,RUB,29.19026
Russia,ruble,RUR,29190.26
Rwanda,franc,RWF,604.7951
Samoa,tala,WST,2.239061
San Marino,euro,EUR,0.744696
San Marino,lira,ITL,1441.933
Sao Tome & Principe,dobra,STD,18784.7
Saudi Arabia,riyal,SAR,3.750535
Senegal,franc,XOF,530.0
Seychelles,rupee,SCR,13.60069
Sierra Leone,leone,SLL,4350.667
Singapore,dollar,SGD,1.25564
Slovakia,euro,EUR,0.744696
Slovakia,koruna,SKK,21.94991
Slovenia,euro,EUR,0.744696
Slovenia,tolar,SIT,178.4589
Solomon Isl.,dollar,SBD,7.295383
South Africa,rand,ZAR,7.593592
Spain,euro,EUR,0.744696
Spain,peseta,ESP,123.907
Sri Lanka,rupee,LKR,119.8562
St Helena,pound,SHP,0.631425
St Kitts - Nevis,dollar,XCD,2.701444
St Lucia,dollar,XCD,2.701444
St Pierre & Miquelon,euro,EUR,0.744696
St Pierre & Miquelon,franc,FRF,4.884886
St Vincent & Grenadines,dollar,XCD,2.701444
Sudan,dinar,SDD,286.024
Sudan,pound,SDG,2.86024
Suriname,guilder,SRD,3.2952
Suriname,guilder,SRG,3295.2
Svalbard & Jan Mayen Isl.,krone,NOK,5.570633
Swaziland,lilangeni,SZL,7.543777
Sweden,krona,SEK,6.564375
Switzerland,franc,CHF,0.895985
Syria,pound,SYP,57.91385
Taiwan,dollar,TWD,29.57826
Tajikistan,ruble,TJR,475.9582
Tajikistan,ruble,TJS,4.759582
Tanzania,shilling,TZS,1597.328
Thailand,baht,THB,30.34391
Togo,franc,XOF,530.0
Tokelau,dollar,NZD,1.195296
Tonga,paanga,TOP,1.68853
Trinidad & Tobago,dollar,TTD,6.362237
Tunisia,dinar,TND,1.48936
Turkey,lira,TRL,1764575.0
Turkey,lira,TRY,1.764575
Turkmenistan,manat,TMM,14250.94
Turkmenistan,manat,TMT,2.850189
Turks & Caicos Isl.,dollar,USD,1.0
Tuvalu,dollar,AUD,0.933455
U.A.E.,dirham,AED,3.673179
U.S. Minor Outlaying Isl.,dollar,USD,1.0
Uganda,shilling,UGX,2333.614
Ukraine,hryvnia,UAH,7.998423
United Kingdom,pound,GBP,0.631425
United States,dollar,USD,1.0
Uruguay,peso,UYU,19.53133
Uzbekistan,sum,UZS,1816.415
Vanuatu,vatu,VUV,90.00412
Vatican,lira,ITL,1441.933
Venezuela,bolivar,VEB,4294.647
Venezuela,bolivar,VEF,4.294647
Vietnam,dong,VND,20841.26
Virgin Isl. (British),dollar,USD,1.0
Virgin Isl. (U.S.),dollar,USD,1.0
Wallis & Futuna Isl.,franc,XPF,88.86532
Western Sahara,dirham,MAD,8.317294
Yemen,rial,YER,218.885
Yugoslavia,dinar,YUM,1.45737
Zambia,kwacha,ZMK,5082.804
