CountryName,CurrencyName,CurrencyCode,UnitsPerUSD
Afghanistan,afghani,AFA,49363.05
Afghanistan,afghani,AFN,49.36305
Albania,lek,ALL,105.7191
American Samoa,dollar,USD,1.0
Andorra,euro,EUR,0.744696
Andorra,franc,FRF,4.884886
Andorra,peseta,ADP,123.907
Andorra,peseta,ESP,123.907
Angola,kwanza,AOA,94.96463
Angola,kwanza,AOK,76.5
Anguilla,dollar,XCD,2.701444
Antigua & Barbuda,dollar,XCD,2.701444
Antilles,guilder,ANG,1.79
Argentina,peso,ARS,4.539811
Armenia,dram,AMD,388.2946
Aruba,florin,AWG,1.7897
Australia,dollar,AUD,0.933455
Austria,euro,EUR,0.744696
Austria,schilling,ATS,10.24724
Azerbaijan,manat,AZM,3930.565
Azerbaijan,manat,AZN,0.786113
Bahamas,dollar,BSD,1.0
Bahrain,dinar,BHD,0.376
Bangladesh,taka,BDT,82.21802
Barbados,dollar,BBD,2.005
Belarus,ruble,BYB,8150182.0
Belarus,ruble,BYR,8150.182
Belgium,euro,EUR,0.744696
Belgium,franc,BEF,30.04096
Belize,dollar,BZD,1.95
Benin,franc,XOF,530.0
Bermuda,dollar,BMD,1.0
Bhutan,ngultrum,BTN,49.14444
Bhutan,rupee,INR,48.96815
Bolivia,boliviano,BOB,6.882532
Bosnia & Herzegovina,marks,BAM,1.45737
Botswana,pula,BWP,7.161282
Bouvet Isl.,krone,NOK,5.570633
Br. Indian Ocean Terr.,dollar,USD,1.0
Brazil,real,BRL,1.708317
Brunei Darussalam,dollar,BND,1.25564
Bulgaria,lev,BGL,1448.955
Bulgaria,lev,BGN,1.448955
Burkina Faso,franc,XOF,530.0
Burundi,franc,BIF,1364.865
Cambodia,riel,KHR,4038.197
Cameroon,franc,XAF,488.4982
Canada,dollar,CAD,0.998734
Cape Verde,escudo,CVE,75.36324
Cayman Isl.,dollar,KYD,0.81083
Central African Rep.,franc,XAF,488.4982
Chad,franc,XAF,488.4982
Chile,peso,CLP,480.4374
China,yuan,CNY,6.298183
Christmas Isl.,dollar,AUD,0.933455
Cocos/Keeling Isl.,dollar,AUD,0.933455
Colombia,peso,COP,1798.093
Comoros,franc,KMF,366.3606
Congo,franc,XAF,488.4982
Cook Isl.,dollar,NZD,1.195296
Costa Rica,colon,CRC,507.7519
Cote D'Ivoire,franc,XOF,530.0
Croatia,kuna,HRK,5.639568
Cuba,peso,CUP,1.0
Cyprus,euro,EUR,0.744696
Cyprus,pound,CYP,0.435851
Czech Rep.,koruna,CZK,18.63828
Denmark,krone,DKK,5.523001
Djibouti,franc,DJF,178.75
Dominica,dollar,XCD,2.701444
Dominican Rep.,peso,DOP,38.90244
East Timor,rupiah,IDR,9114.985
Ecuador,dollar,USD,1.0
Ecuador,sucre,ECS,25000.0
Egypt,pound,EGP,6.022351
El Salvador,colon,SVC,8.74999
Eq. Guinea,franc,XAF,488.4982
Eritrea,nakfa,ERN,15.0
Estonia,kroon,EEK,11.61949
Ethiopia,birr,ETB,17.3334
European Union,euro,EUR,0.744696
Falkland Isl.,pound,FKP,0.631425
Faroe Isl.,krone,DKK,5.523001
Fiji,dollar,FJD,1.746399
Finland,euro,EUR,0.744696
Finland,markka,FIM,4.427769
Fr. Guiana,euro,EUR,0.744696
Fr. Guiana,franc,FRF,4.884886
Fr. Polynesia,franc,XPF,88.86532
Fr. South. Terr.,euro,EUR,0.744696
Fr. South. Terr.,franc,FRF,4.884886
France,euro,EUR,0.744696
France,franc,FRF,4.884886
Gabon,franc,XAF,488.4982
Gambia,dalasi,GMD,28.96034
Georgia,lari,GEL,1.655579
Germany,euro,EUR,0.744696
Germany,mark,DEM,1.456499
Ghana,cedi,GHC,16479.36
Ghana,cedi,GHS,1.647936
Gibraltar,pound,GIP,0.631425
Greece,drachma,GRD,253.7552
Greece,euro,EUR,0.744696
Greenland,krone,DKK,5.523001
Grenada,dollar,XCD,2.701444
Guadeloupe,euro,EUR,0.744696
Guadeloupe,franc,FRF,4.884886
Guam,dollar,USD,1.0
Guatemala,quetzal,GTQ,7.817965
Guinea,franc,GNF,7075.824
Guinea-Bissau,franc,XOF,530.0
Guyana,dollar,GYD,201.4049
Haiti,dollar,USD,1.0
Haiti,gourde,HTG,40.7749
Heard & Mcdonald Isl.,dollar,AUD,0.933455
Honduras,lempira,HNL,19.08738
Hong Kong,dollar,HKD,7.754974
Hungary,forint,HUF,215.5146
Iceland,krona,ISK,124.2372
India,rupee,INR,48.96815
Indonesia,rupiah,IDR,9114.985
Iran,rial,IRR,11979.92
Ireland,euro,EUR,0.744696
Ireland,pound,IEP,0.586496
Israel,sheqel,ILS,3.764697
Italy,euro,EUR,0.744696
